Wavelength (nm),CD (mdeg),1,2,3,Label
220,-60.5859,0.372497,273.526,0.000158077,PDN15
219.8,-60.3782,0.379136,274.172,0.00016411,PDN15
219.6,-60.2545,0.385628,274.811,0.000162082,PDN15
219.4,-60.19,0.391965,275.448,0.000164512,PDN15
219.2,-60.0645,0.398024,276.082,0.000152507,PDN15
219,-59.8982,0.405161,276.792,0.000132455,PDN15
218.8,-59.7683,0.411296,277.409,0.000117708,PDN15
218.6,-59.5646,0.417225,278.027,0.000115467,PDN15
218.4,-59.3778,0.422221,278.571,0.000112295,PDN15
218.2,-59.2689,0.429417,279.348,0.000108129,PDN15
218,-59.0196,0.434607,279.889,0.000109068,PDN15
217.8,-58.8332,0.441075,280.528,0.00010401,PDN15
217.6,-58.6754,0.447603,281.181,0.000107189,PDN15
217.4,-58.5023,0.453832,281.831,0.000111966,PDN15
217.2,-58.3864,0.459401,282.408,0.000118686,PDN15
217,-58.2567,0.466242,283.071,0.000124059,PDN15
216.8,-58.1248,0.473222,283.747,0.000122162,PDN15
216.6,-58.0409,0.480571,284.444,0.000118313,PDN15
216.4,-58.055,0.487863,285.139,0.000111912,PDN15
216.2,-58.0163,0.494004,285.763,0.000103386,PDN15
216,-57.8412,0.500895,286.471,0.000100134,PDN15
215.8,-57.7502,0.507084,287.116,9.73E-05,PDN15
215.6,-57.719,0.514419,287.831,8.56E-05,PDN15
215.4,-57.5938,0.52152,288.573,6.71E-05,PDN15
215.2,-57.6347,0.527945,289.227,6.02E-05,PDN15
215,-57.6961,0.535391,289.981,5.27E-05,PDN15
214.8,-57.6711,0.543129,290.719,4.79E-05,PDN15
214.6,-57.7681,0.549643,291.376,4.67E-05,PDN15
214.4,-57.8209,0.557239,292.133,4.28E-05,PDN15
214.2,-57.8675,0.563959,292.811,4.33E-05,PDN15
214,-58.0319,0.571577,293.58,4.47E-05,PDN15
213.8,-57.9493,0.579568,294.381,5.91E-05,PDN15
213.6,-57.9629,0.586692,295.075,5.60E-05,PDN15
213.4,-58.2069,0.594883,295.9,4.62E-05,PDN15
213.2,-58.3243,0.60307,296.735,3.71E-05,PDN15
213,-58.5444,0.61149,297.612,3.89E-05,PDN15
212.8,-58.7009,0.620207,298.506,4.92E-05,PDN15
212.6,-58.9916,0.630396,299.534,4.11E-05,PDN15
212.4,-59.3816,0.639677,300.488,2.92E-05,PDN15
212.2,-59.7494,0.649026,301.458,1.77E-05,PDN15
212,-60.1392,0.658275,302.44,8.36E-06,PDN15
211.8,-60.545,0.667757,303.456,1.40E-05,PDN15
211.6,-60.9748,0.678663,304.636,1.77E-05,PDN15
211.4,-61.6615,0.688506,305.696,9.20E-06,PDN15
211.2,-62.1364,0.69836,306.758,-1.52E-05,PDN15
211,-62.6478,0.708525,307.861,-9.05E-06,PDN15
210.8,-63.068,0.717573,308.82,-1.16E-05,PDN15
210.6,-63.7508,0.728054,309.932,-1.48E-05,PDN15
210.4,-64.2221,0.738703,311.08,-1.63E-05,PDN15
210.2,-64.7817,0.751056,312.409,-1.95E-05,PDN15
210,-65.1933,0.762458,313.622,-1.61E-05,PDN15
209.8,-65.5797,0.774083,314.87,-2.01E-05,PDN15
209.6,-66.0909,0.786034,316.161,-3.92E-05,PDN15
209.4,-66.4679,0.798289,317.49,-4.10E-05,PDN15
209.2,-67.1134,0.812032,319.023,-5.29E-05,PDN15
209,-67.4178,0.824618,320.452,-5.94E-05,PDN15
208.8,-67.9114,0.837406,321.904,-7.06E-05,PDN15
208.6,-68.2833,0.850359,323.39,-5.78E-05,PDN15
208.4,-68.3772,0.865398,325.098,-7.39E-05,PDN15
208.2,-68.2912,0.880728,326.867,-7.06E-05,PDN15
208,-68.3362,0.896244,328.679,-6.31E-05,PDN15
207.8,-67.8984,0.912217,330.549,-6.12E-05,PDN15
207.6,-67.3078,0.931652,332.88,-7.02E-05,PDN15
207.4,-66.537,0.946117,334.625,-6.87E-05,PDN15
207.2,-65.9096,0.962953,336.649,-7.86E-05,PDN15
207,-64.9551,0.977813,338.484,-0.000108075,PDN15
206.8,-64.41,0.990977,340.104,-0.000106829,PDN15
