5U4Y,PDN11,PDN12,PDN13,PDN14,PDN15,PDN16,PDN17,PDN18,PDN19,PDN20,PDN21,PDN22,PDN23,PDN24
-4.2653,-90.72774581,-9.68485,-79.94128666,-103.2486638,-92.67855,-87.25170933,-4.25104,-110.6490268,-5.09425,-111.1009694,-0.871302806,0.975380956,-111.8674578,-3.443894493
3.2378,-100.3205388,-8.39559,-98.25754239,-108.6670269,-93.68094,-108.4911379,-0.74717,-8.062347568,-0.99364,-106.7310141,-9.231560046,-107.0581633,-112.3625318,-4.015850415
-3.55026,-98.84010541,-12.95842,-87.37452091,-105.0214848,-80.06325,-99.15138237,-2.18564,-4.789570577,-0.59982,-106.5042219,-3.537140741,-112.6968585,-104.6915491,-3.827451016
0.47059,-100.9730063,-5.17645,-89.45950821,-101.675076,-90.37768,-105.7732552,0.68025,-15.27405026,-4.79248,-106.2734679,-4.124214348,0.377331936,-0.376806653,-98.83717923
-0.11122,-93.86650281,-7.93325,-86.40394014,-112.0543647,-90.57976,-104.9101226,0.59368,-109.8053731,-1.60369,0.591722294,-0.660737768,1.843219863,-0.486476758,-101.0422675
-4.35847,-107.6954383,-2.2889,-91.09253813,-100.2974668,-93.55093,4.910818076,-5.05579,-105.2954829,-1.27376,4.100020158,2.016942448,0.08782793,-4.95922376,-102.1872774
-110.67732,-99.72688773,-0.51803,-88.0763419,-116.9598878,-95.60746,5.779038752,-107.16767,-104.2150395,-3.87078,11.56208823,-2.629934018,-113.2733965,-5.039642361,-97.23509264
-120.30768,-104.6531322,-0.5657,-104.2665014,-110.4870966,-93.06397,2.60403206,-102.74309,-96.73159615,-5.23404,1.286459939,-4.824466506,-114.8781083,0.505576294,-102.2932506
-97.90329,-111.2647037,-96.77666,-5.388490717,-107.7176911,-91.50102,2.304337528,-99.82213,-100.5409592,-102.59899,-8.510159412,-92.96584814,-108.4537724,-105.9708398,-111.6996099
-90.07556,-95.71347277,-94.59563,-1.595842747,-101.7327367,-84.51142,-105.9685014,-91.70414,-107.2990525,-87.20672,-5.980274159,-1.142080976,-112.9247465,-104.7095976,-101.9330069
-95.16437,-101.0356729,-97.97112,2.653081313,-0.946451632,-1.88866,-110.7067706,-2.96517,-111.9264113,-90.49357,-5.326154521,-0.724174619,-104.2620269,-102.9775668,-101.3145085
-112.85206,-98.29772844,-91.16122,2.530004626,-4.339419046,-6.35026,-103.2460736,-3.44882,-106.484599,-90.06216,-4.21393186,-88.80530822,-114.3364574,-114.9193946,-117.6460069
-104.02561,-101.0324394,-88.37959,1.289464167,4.294924071,-1.68244,2.141975108,-1.33868,-113.7204442,-93.75783,-6.392247383,-85.43030826,-119.534445,-108.7109421,-4.176411115
-113.65855,-81.64964254,-3.20817,1.834158477,0.357744102,-1.90207,-24.41544885,-4.24078,-119.0813468,-98.42216,-103.727697,-89.43315822,-124.1871237,-107.9599857,-95.96662649
